IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
228,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
229,No indica veracidad de la informaciÂ¢n comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
230,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
231,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
232,Ostenta la informacion comercial en idioma distinto al espaÃ±ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
233,Carece de veracidad en informaciÂ¢n,VISITA CON INFRACCION  PRODUCTO EMPLAZADO
234,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
235,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
236,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
237,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
238,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
239,Ostenta la fecha de caducidad en forma ilegible,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
240,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
241,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
242,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
243,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
244,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
245,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
246,Carece de la informaciÂ¢n comercial obligatoria en idioma espaÂ¤ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
247,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
248,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
249,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
250,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
251,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
252,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
253,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
254,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
255,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
256,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
257,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
258,Carece de fecha de caducidad,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
259,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
260,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
261,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
262,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
263,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
264,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
265,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
266,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
267,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
268,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
269,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
270,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
271,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
272,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
273,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
274,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
275,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
276,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
277,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
278,Carece de logotipo del fabricante,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
279,Carece de logotipo del fabricante,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
280,Carece de la informacion comercial obligatoria en idioma espaÃ±ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
281,Carece de logotipo del fabricante,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
282,Carece de pais de origen ( puede presentarse en etiqueta o cintillo ),VISITA CON INFRACCION PRODUCTO INMOVILIZADO
283,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
284,Carece de veracidad en informaciÂ¢n,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
285,Carece de fecha de caducidad,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
286,No indica veracidad de la informaciÂ¢n comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
287,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
288,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
289,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
290,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
291,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
292,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
293,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
294,Carece de toda informacion comercial  en el producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
295,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
296,Carece de fecha de caducidad,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
297,No indica veracidad de la informaciÂ¢n comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
298,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
299,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
300,Carece de la  cantidad numerica que indique  la ley del metal,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
301,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
302,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
303,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
304,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
305,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
306,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
307,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
