RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
+MÂµS ELECTRONICA Y/O OMAR PEÃA SCHCOLNIK,REPARACION DE APARATOS ELECTRICOS,PAZ  LA,BAJA CALIFORNIA SUR,127
1 STAND 10 Y/O TERESA PAMELA RUBIO MORALES,ROPA DEPORTIVA,MIGUEL HIDALGO,DISTRITO FEDERAL,128
100% SUSPENSIONES,REFACCIONARIA AUTOMOTRIZ,QUERETARO,QUERETARO,129
1521 EL PARAISO RESTAURANTE,RESTAURANTE,CUERNAVACA,MORELOS,130
1ST AND 10 Y/O VICTOR SALVADOR RUBIO FIGUEROA,ARTICULOS DEPORTIVOS,GUSTAVO A. MADERO,DISTRITO FEDERAL,131
23 MATAMOROS Y/O JESUS SANCHEZ QUIJANO,ABARROTES,VICTORIA,TAMAULIPAS,132
27 MICRAS INTERNACIONAL  S. A. DE C. V.,ROPA PARA CABALLERO,ECATEPEC DE MORELOS,MEXICO,133
27 MICRAS INTERNACIONAL  S.A. DE C.V. Y/O ALDO CONTI,BOUTIQUE,CUERNAVACA,MORELOS,134
27 MICRAS INTERNACIONAL S.A. DE C.V. Y/O ALDO CONTI,ZAPATERIA,COYOACAN,DISTRITO FEDERAL,135
27 MICRAS INTERNACIONAL S.A. DE C.V. Y/O ALDO CONTI,ROPA PARA CABALLERO,NAUCALPAN DE JUAREZ,MEXICO,136
27 MICRAS INTERNATIONAL  S.A. DE C.V.,ROPA PARA CABALLERO,PACHUCA DE SOTO,HIDALGO,137
3 HERMANOS,ZAPATERIA,APODACA,NUEVO LEON,138
3 HERMANOS,ZAPATERIA,SAN LUIS POTOSI,SAN LUIS POTOSI,139
3 HERMANOS SHOES Y/O TEPIZA  S.A DE C.V.,ZAPATERIA,TEPIC,NAYARIT,140
3E GROUP Y/O UNIVERSAL TECHNOLOGY GROUP  S.A. DE C.V.,PRODUCTOS ELECTRONICOS,CUAUHTEMOC,DISTRITO FEDERAL,141
4,ARTICULOS DE PIEL,TUXTLA GUTIERREZ,CHIAPAS,142
4 KIDS,BOUTIQUE,CHIHUAHUA,CHIHUAHUA,143
4 STREET Y/O FRANCISCO JAVIER AGUILAR VILLAVICENCIO,RESTAURANTE,PAZ  LA,BAJA CALIFORNIA SUR,144
50 FRIENDS SANTA FE Y/O RELACIONES GASTRONOMICAS SA DE CV,RESTAURANTE,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,145
7 ELEVEN,TIENDA DE AUTOSERVICIO,SALTILLO,COAHUILA DE ZARAGOZA,146
7 ELEVEN,TIENDA DEPARTAMENTAL,SAN PEDRO GARZA GARCIA,NUEVO LEON,147
7 ELEVEN DE MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,BENITO JUAREZ,DISTRITO FEDERAL,148
7 ELEVEN DE MEXICO  S.A. DE C.V.,MINI SUPER,MIGUEL HIDALGO,DISTRITO FEDERAL,149
7 ELEVEN DE MEXICO S.A DE C.V.,TIENDAS DE CONVENIENCIA,ATIZAPAN DE ZARAGOZA,MEXICO,150
7 ELEVEN DE MEXICO S.A DE C.V.,MINI SUPER,ATIZAPAN DE ZARAGOZA,MEXICO,150
7 ELEVEN DE MEXICO S.A DE C.V.,MINI SUPER,TLALNEPANTLA DE BAZ,MEXICO,151
7 ELEVEN DE MEXICO S.A. DE C.V,TIENDAS DE CONVENIENCIA,REYNOSA,TAMAULIPAS,152
7 ELEVEN DE MEXICO S.A. DE C.V.,MINI SUPER,ALVARO OBREGON,DISTRITO FEDERAL,153
7 ELEVEN DE MEXICO S.A. DE C.V.,MINI SUPER,CUAUTITLAN IZCALLI,MEXICO,154
7 ELEVEN MEXCIO  S.A. DE C.V.,MINI SUPER,VENUSTIANO CARRANZA,DISTRITO FEDERAL,155
7 ELEVEN MEXICO  S. A. DE C. V. Y/O 7 ELEVEN   TIENDA 545 TLALPAN,MINI SUPER,TLALPAN,DISTRITO FEDERAL,156
7 ELEVEN MEXICO  S.A DE C.V.,TIENDAS DE CONVENIENCIA,COYOACAN,DISTRITO FEDERAL,157
7 ELEVEN MEXICO  S.A DE C.V.,MINI SUPER,TLALPAN,DISTRITO FEDERAL,158
7 ELEVEN MEXICO  S.A DE C.V.  TIENDA 1186  AV. DEL CONVENTO,TIENDAS DE CONVENIENCIA,COYOACAN,DISTRITO FEDERAL,159
7 ELEVEN MEXICO  S.A DE C.V.  TIENDA 1947 CALIZ,MINI SUPER,COYOACAN,DISTRITO FEDERAL,160
7 ELEVEN MEXICO  S.A. DE C.V   TIENDA 1969 PERIFERICO SUR ESQ REANTO LEDUC,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,161
7 ELEVEN MEXICO  S.A. DE C.V  TIENDA 729 TEC DF,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,162
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,ALVARO OBREGON,DISTRITO FEDERAL,163
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,BENITO JUAREZ,DISTRITO FEDERAL,164
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,COYOACAN,DISTRITO FEDERAL,165
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,CUAUHTEMOC,DISTRITO FEDERAL,166
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,GUSTAVO A. MADERO,DISTRITO FEDERAL,167
7 ELEVEN MEXICO  S.A. DE C.V.,MINI SUPER,IZTAPALAPA,DISTRITO FEDERAL,168
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,IZTAPALAPA,DISTRITO FEDERAL,168
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,MEXICALI,BAJA CALIFORNIA,169
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,MIGUEL HIDALGO,DISTRITO FEDERAL,170
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,NAUCALPAN DE JUAREZ,MEXICO,171
7 ELEVEN MEXICO  S.A. DE C.V.,MINI SUPER,NAUCALPAN DE JUAREZ,MEXICO,171
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,TLALNEPANTLA DE BAZ,MEXICO,172
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,173
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,TORREON,COAHUILA DE ZARAGOZA,174
7 ELEVEN MEXICO  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,VENUSTIANO CARRANZA,DISTRITO FEDERAL,175
7 ELEVEN MEXICO  S.A. DE C.V.,MINI SUPER,VENUSTIANO CARRANZA,DISTRITO FEDERAL,175
7 ELEVEN MEXICO  S.A. DE C.V.     TIENDA 1911,TIENDAS DE CONVENIENCIA,COYOACAN,DISTRITO FEDERAL,176
7 ELEVEN MEXICO  S.A. DE C.V.   TIENDA 1596  METROBUS LA JOYA,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,177
7 ELEVEN MEXICO  S.A. DE C.V.   TIENDA 1716 GAS CUEMANCO,TIENDAS DE CONVENIENCIA,XOCHIMILCO,DISTRITO FEDERAL,178
7 ELEVEN MEXICO  S.A. DE C.V.   TIENDA 559 ALLENDE,MINI SUPER,COYOACAN,DISTRITO FEDERAL,179
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 1252 VILLA COAPA,MINI SUPER,TLALPAN,DISTRITO FEDERAL,180
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 1377,MINI SUPER,VENUSTIANO CARRANZA,DISTRITO FEDERAL,181
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 1477,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,182
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 1885 GANADEROS,MINI SUPER,IZTAPALAPA,DISTRITO FEDERAL,183
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 2057 FRAY PEDRO DE GANTE,TIENDAS DE CONVENIENCIA,TLALPAN,DISTRITO FEDERAL,184
7 ELEVEN MEXICO  S.A. DE C.V.  TIENDA 2430,MINI SUPER,IZTAPALAPA,DISTRITO FEDERAL,185
7 ELEVEN MEXICO  S.A. DE C.V. (7 ELEVEN LEON GUZMAN),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,186
7 ELEVEN MEXICO  S.A. DE C.V. (AV. INTERNACIONAL Y ARBOLEDAS),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,187
7 ELEVEN MEXICO  S.A. DE C.V. (CARLOS SALAZAR Y REYNOSA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,188
7 ELEVEN MEXICO  S.A. DE C.V. (CARR. FED. MATA-REY),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,189
