RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
SANBORNÃ¯S HERMANOS  S.A.,RESTAURANTE,METEPEC,MEXICO,9626
SANBORNÃ¯S HERMANOS S.A.,RESTAURANTE,MIGUEL HIDALGO,DISTRITO FEDERAL,9627
SANCHEZ TELLO MARIA DE LOS ANGELES,ARTICULOS DE BELLEZA,CUAUHTEMOC,DISTRITO FEDERAL,9628
SANDALIAS DE MORELIA,ZAPATERIA,MORELIA,MICHOACAN DE OCAMPO,9629
SANDALIAS DE SOFIA,ZAPATERIA,COLIMA,COLIMA,9630
SANDALIAS LEO Y/O MIRNA EDUVIJES YAM,ZAPATERIA,CAMPECHE,CAMPECHE,9631
SANDRA RODRIGUEZ HERNANDEZ,PRENDAS DE VESTIR,CUAUHTEMOC,DISTRITO FEDERAL,9632
SANFRI  Y/O GABRIELA ENCISO FRIAS,NOVEDADES Y FANTASIAS,HERMOSILLO,SONORA,9633
SANTA CLARA MERCANTIL DE PACHUCA   S. DE RL DE CV..,LECHE,PACHUCA DE SOTO,HIDALGO,9634
SANTA MONICA BOUTIQUE,BOUTIQUE,SAN PEDRO GARZA GARCIA,NUEVO LEON,9635
SANTAFE ESPERANZA,TIENDA DE AUTOSERVICIO,CAJEME,SONORA,9636
SANTANDREU SA DE CV,MATERIALES PARA CONSTRUCCION,CAMPECHE,CAMPECHE,9637
SANTANERO VIVO BAR,BAR,APODACA,NUEVO LEON,9638
SANTANGEL JOYAS Y/O JOYAS Y REGALOS FINOS  S.A. DE C.V.,JOYERIA,CUERNAVACA,MORELOS,9639
SANTANGEL JOYAS Y/O JOYAS Y REGALOS FINOS S.A. DE C.V.,JOYERIA,CUERNAVACA,MORELOS,9640
SANTI SAN ANGEL  S.A. DE C.V. Y/O ZAPATERIAS SANTILLANA,ZAPATERIA,ALVARO OBREGON,DISTRITO FEDERAL,9641
SANTILLANA Y/O CALZADOS VIPER S.A. DE C.V.,ZAPATERIA,MIGUEL HIDALGO,DISTRITO FEDERAL,9642
SANTISIMA- AROB  S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,AGUASCALIENTES,9643
SANTORY,PRENDAS DE VESTIR,NEZAHUALCOYOTL,MEXICO,9644
SANTORY  INTERNACIONAL  S.A. DE C.V.  Y/O SANTORY,PRENDAS DE VESTIR,IZTAPALAPA,DISTRITO FEDERAL,9645
SANTORY  INTERNACIONAL S. A DE C.V.,ROPA PARA DAMA,TAPACHULA,CHIAPAS,9646
SANTORY INTERNACIONAL,PRENDAS DE VESTIR,TUXTLA GUTIERREZ,CHIAPAS,9647
SANTORY INTERNACIONAL   S.A. DE C.V.,BOUTIQUE,VERACRUZ,VERACRUZ,9648
SANTORY INTERNACIONAL  S.A DE C.V,PRENDAS DE VESTIR,COZUMEL,QUINTANA ROO,9649
SANTORY INTERNACIONAL  S.A DE C.V.,PRENDAS DE VESTIR,NAUCALPAN DE JUAREZ,MEXICO,9650
SANTORY INTERNACIONAL  S.A. DE C.V.,ROPA PARA DAMA,GUSTAVO A. MADERO,DISTRITO FEDERAL,9651
SANTORY INTERNACIONAL  S.A. DE C.V.,ROPA PARA DAMA,ZAMORA,MICHOACAN DE OCAMPO,9652
SANTORY INTERNACIONAL S. A. DE C.V.,PRENDAS DE VESTIR,TLALNEPANTLA DE BAZ,MEXICO,9653
SANTORY INTERNACIONAL S.A DE C.V.,PRENDAS DE VESTIR,TLALNEPANTLA DE BAZ,MEXICO,9654
SANTORY INTERNACIONAL S.A. DE C.V.,ROPA PARA DAMA,CUERNAVACA,MORELOS,9655
SANTORY INTERNACIONAL S.A. DE C.V. Y/O SANTORY,BOUTIQUE,PAZ  LA,BAJA CALIFORNIA SUR,9656
SANTORY INTERNACIONAL SA DE CV,PRENDAS DE VESTIR,OTHON P. BLANCO,QUINTANA ROO,9657
SANTORY Y/O SANTORY INTERNACIONAL  S.A. DE C.V.,PRENDAS DE VESTIR,SOLIDARIDAD,QUINTANA ROO,9658
SANTORY Y/O SANTORY INTERNACIONAL S.A. DE C.V.,PRENDAS DE VESTIR,GUANAJUATO,GUANAJUATO,9659
SANTUL HERRAMIENTAS  S.A. DE C.V.,ARTICULOS DE FERRETERIA,GUSTAVO A. MADERO,DISTRITO FEDERAL,9660
SAPHIR ACCESORIOS Y/O JORGE ALBERTO ISRAEL GUTIERREZ GUZMAN,BISUTERIA,CUAUHTEMOC,DISTRITO FEDERAL,9661
SAR MONTERREY Y/O SAR MONTERREY  S.A DE C.V,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,9662
SARA DURON BOUTIQUE,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,9663
SARA PAULINA DE LA ROSA RAMIREZ,JOYERIA,LEON,GUANAJUATO,9664
SARA VICTORIA BOUTIQUE,BOUTIQUE,CADEREYTA JIMENEZ,NUEVO LEON,9665
SARAH BUSTANI,ROPA PARA DAMA,COLIMA,COLIMA,9666
SAS COMFORT SHOES,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,9667
SAS COMFORT SHOES,SIN GIRO ESPECIFICO,SAN PEDRO GARZA GARCIA,NUEVO LEON,9668
SBCBSG COMPANY DE MÂ¿XICO  S. DE R.L. DE C.V. Y/O SALLY BEAUTY SOPPLY,ROPA PARA DAMA,TOLUCA,MEXICO,9669
SBSBSG COMPANY DE MEXICO S.R. L. DE C.V.,ARTICULOS DE BELLEZA,NUEVO LAREDO,TAMAULIPAS,9670
SCAPPINO - AMERICA CONTINENTAL  S.A. DE C.V.,PRENDAS DE VESTIR,NAUCALPAN DE JUAREZ,MEXICO,9671
SCAPPINO Y/O AMERICA CONTINENTAL  S.A DE C.V,PRENDAS DE VESTIR,BENITO JUAREZ,QUINTANA ROO,9672
SCAPPINO Y/O AMERICA CONTINENTAL  S.A. DE C.V.,ROPA PARA CABALLERO,CUERNAVACA,MORELOS,9673
SCAPPINO Y/O AMERICA CONTINENTAL S.A. DE C.V.,PRENDAS DE VESTIR,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,9674
SCAPPINO Y/O AMERICA CONTINENTAL S.A.DE C.V.,ROPA PARA CABALLERO,NAUCALPAN DE JUAREZ,MEXICO,9675
SCARPA,ZAPATERIA,CHIHUAHUA,CHIHUAHUA,9676
SCARPE ZAPATERIA,ZAPATERIA,TOLUCA,MEXICO,9677
SCHOOL DEPOT  Y/O HEMSA  S.A DE C.V,SIN GIRO ESPECIFICO,APODACA,NUEVO LEON,9678
SCHREIBER MEXICO  S.A. DE C.V.,PRODUCTOS LACTEOS,LEON,GUANAJUATO,9679
SCORPION DISTRIBUIDOR MAYORISTA  S.A. DE C.V.,ABARROTES,ECATEPEC DE MORELOS,MEXICO,9680
SCORPION Y/O COMERCIALIZADORA GRUPO SCORPION S.A. DE C.V.,ABARROTES,ECATEPEC DE MORELOS,MEXICO,9681
SCORPIONS DISTRIBUIDOR MAYORISTA S.A DE C.V.,ABARROTES,TULTITLAN,MEXICO,9682
SCOTH & SODA  Y/O COMERCIALIZADORA REGENT S.A. DE C.V.,PRENDAS DE VESTIR,MIGUEL HIDALGO,DISTRITO FEDERAL,9683
SEA FOOD- RESTAURANTE COLOCHO,RESTAURANTE,ATIZAPAN DE ZARAGOZA,MEXICO,9684
SEARS  OPERADORA MEXICO S.A. DE C.V.,TIENDA DEPARTAMENTAL,CUAUTITLAN IZCALLI,MEXICO,9685
SEARS OPERADORA  MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,CHIHUAHUA,CHIHUAHUA,9686
SEARS OPERADORA  MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,SAN LUIS POTOSI,SAN LUIS POTOSI,9687
SEARS OPERADORA  MEXICO  S.A. DE C.V.   Y/O SEARS,TIENDA DEPARTAMENTAL,PAZ  LA,BAJA CALIFORNIA SUR,9688
SEARS OPERADORA  MEXICO  S.A. DE C.V. Y/O SEARS,TIENDA DEPARTAMENTAL,PAZ  LA,BAJA CALIFORNIA SUR,9689
SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,AGUASCALIENTES,9690
SEARS OPERADORA DE MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,TUXTLA GUTIERREZ,CHIAPAS,9691
SEARS OPERADORA DE MEXICO SA DE CV Y/O SEARS POLANCO,TIENDA DEPARTAMENTAL,MIGUEL HIDALGO,DISTRITO FEDERAL,9692
SEARS OPERADORA MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,COACALCO DE BERRIOZABAL,MEXICO,9693
SEARS OPERADORA MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,ECATEPEC DE MORELOS,MEXICO,9694
SEARS OPERADORA MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,METEPEC,MEXICO,9695
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,BENITO JUAREZ,QUINTANA ROO,9696
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,BOCA DEL RIO,VERACRUZ,9697
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,COYOACAN,DISTRITO FEDERAL,9698
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,9699
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,CUAUHTEMOC,DISTRITO FEDERAL,9700
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,CUERNAVACA,MORELOS,9701
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,DURANGO,DURANGO,9702
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,GOMEZ PALACIO,DURANGO,9703
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,IZTAPALAPA,DISTRITO FEDERAL,9704
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,MINERAL DE LA REFORMA,HIDALGO,9705
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,NEZAHUALCOYOTL,MEXICO,9706
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,PACHUCA DE SOTO,HIDALGO,9707
SEARS OPERADORA MEXICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,VERACRUZ,VERACRUZ,9708
SEARS OPERADORA MEXICO  S.A. DE C.V.  Y/O SEARS,TIENDA DEPARTAMENTAL,BENITO JUAREZ,DISTRITO FEDERAL,9709
SEARS OPERADORA MEXICO  S.A. DE C.V.  Y/O SEARS,TIENDA DEPARTAMENTAL,MIGUEL HIDALGO,DISTRITO FEDERAL,9710
SEARS OPERADORA MEXICO  S.A. DE C.V.  Y/O SEARS,TIENDA DEPARTAMENTAL,TLALPAN,DISTRITO FEDERAL,9711
SEARS OPERADORA MEXICO  S.A. DE C.V. Y/O SEARS,TIENDA DEPARTAMENTAL,BENITO JUAREZ,DISTRITO FEDERAL,9712
SEARS OPERADORA MEXICO  S.A. DE C.V. Y/O SEARS,TIENDA DEPARTAMENTAL,CUAUHTEMOC,DISTRITO FEDERAL,9713
SEARS OPERADORA MEXICO  S.A. DE C.V. Y/O SEARS AUTO CENTER,DISTRIBUIDORA DE LLANTAS,GUSTAVO A. MADERO,DISTRITO FEDERAL,9714
SEARS OPERADORA MEXICO S.A DE C.V.,TIENDA DEPARTAMENTAL,COACALCO DE BERRIOZABAL,MEXICO,9715
SEARS OPERADORA MEXICO S.A. DE C.V.,TIENDA DEPARTAMENTAL,OAXACA DE JUAREZ,OAXACA,9716
SEARS OPERADORA MEXICO S.A. DE C.V.,TIENDA DEPARTAMENTAL,PUEBLA,PUEBLA,9717
SEARS OPERADORA MEXICO S.A. DE C.V.,TIENDA DEPARTAMENTAL,VERACRUZ,VERACRUZ,9718
SEARS OPERADORA MÂ¿XICO  S.A. DE C.V.,TIENDA DEPARTAMENTAL,JUAREZ,CHIHUAHUA,9719
SECRET SHOES,ZAPATERIA,MONTERREY,NUEVO LEON,9720
SECRETS BOUTIQUE Y/O EVANGELINA SERRANO ARIAS,PRENDAS DE VESTIR,PAZ  LA,BAJA CALIFORNIA SUR,9721
SECRETS BOUTIQUE Y/O OSCAR PEREZ SALGADO,CORSETERIA Y LENCERIA,BENITO JUAREZ,QUINTANA ROO,9722
SEGURIDAD INDUSTRIAL AMIGO  S.A. DE C.V. (AMIGO SAFETY),EQUIPOS DE SEGURIDAD,QUERETARO,QUERETARO,9723
SEMILLAS  SIN NOMBRE   ROGELIO BETAN  FLORES,SEMILLAS Y CHILES SECOS,BENITO JUAREZ,DISTRITO FEDERAL,9724
SEMILLAS CHILES SECOS Y ESPECIES Y/O CARLOS RAMON MEDINA REINA,SEMILLAS Y CHILES SECOS,TULTITLAN,MEXICO,9725
SEMILLAS LA PILA  S.A. DE C.V.,SEMILLAS Y CHILES SECOS,TULTITLAN,MEXICO,9726
SEMILLAS NUEVA LUNA  S.A. DE C.V.,SEMILLAS Y CHILES SECOS,IZTAPALAPA,DISTRITO FEDERAL,9727
SEMILLAS Y BOTANAS,SEMILLAS Y CHILES SECOS,NEZAHUALCOYOTL,MEXICO,9728
SEMILLAS Y CHILES SECOS,SEMILLAS Y CHILES SECOS,CUAUTITLAN  DE ROMERO RUBIO,MEXICO,9729
SEMILLAS Y CHILES SECOS SINALOA Y/O MIGUEL ANGEL GARCIA AGUILAR,SEMILLAS Y CHILES SECOS,ATIZAPAN DE ZARAGOZA,MEXICO,9730
SEN BIS S.A DE C.V,RESTAURANTE,ZUMPANGO,MEXICO,9731
SENBIS  S.A. DE C.V.,PRENDAS DE VESTIR,MEXICALI,BAJA CALIFORNIA,9732
SENBIS  S.A. DE C.V.,ROPA PARA DAMA,TEAPA,TABASCO,9733
SEND WIRELESS & COMUNICATION  S.A. DE C.V.,TELEFONIA CELULAR,MONTERREY,NUEVO LEON,9734
SENDE DISCO Y/O JUAN RESENDIZ RESENDIZ,TIENDA DE DISCOS,GUSTAVO A. MADERO,DISTRITO FEDERAL,9735
SENSACION,BOUTIQUE,LINARES,NUEVO LEON,9736
SENSACION,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,9737
SENSACION,PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,9738
SENSACION   Y/O SENBIS  S.A DE C.V,BOUTIQUE,SABINAS HIDALGO,NUEVO LEON,9739
SENSACION Y/O SEMBIS  S.A DE C.V,PRENDAS DE VESTIR,COZUMEL,QUINTANA ROO,9740
SENSACION Y/O SENBIS  S.A. DE C.V.,PRENDAS DE VESTIR,SOLIDARIDAD,QUINTANA ROO,9741
SEPHORA COYOACAN,ARTICULOS DE BELLEZA,BENITO JUAREZ,DISTRITO FEDERAL,9742
SEPULVEDA REFACCIONES,REPARACION DE APARATOS ELECTRICOS,MONTERREY,NUEVO LEON,9743
SERRANA,SIN GIRO ESPECIFICO,APODACA,NUEVO LEON,9744
SERVI INDUSTRIAS,FERRETERIA,GENERAL ESCOBEDO,NUEVO LEON,9745
SERVI VINO DE ORIENTE  S.A. DE C.V.,ABARROTES VINOS Y LICORES,IZTACALCO,DISTRITO FEDERAL,9746
SERVI VINO DE ORIENTE  S.A. DE C.V.,VINOS Y LICORES,IZTACALCO,DISTRITO FEDERAL,9746
SERVIBEBIDAS MEXICO  Y/O RIVERA MORENO GABRIELA MARIA,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,9747
SERVICIO  DEL CANTABRICO S.A DE C.V. ( MINI SUPER),MINI SUPER,TLALNEPANTLA DE BAZ,MEXICO,9748
SERVICIO AUTOMOTRIZ NAJERA,ACEITES Y LUBRICANTES,IXTACUIXTLA DE MARIANO MATAMOROS,TLAXCALA,9749
SERVICIO CENTER LOAASA,DISTRIBUIDORA DE LLANTAS,TOLUCA,MEXICO,9750
SERVICIO COMERCIAL GARIS  S.A. DE C.V.,BEBIDAS ALCOHOLICAS,IZTAPALAPA,DISTRITO FEDERAL,9751
SERVICIO COMERCIAL GARIS  S.A. DE C.V.,DULCES Y CHOCOLATES,IZTAPALAPA,DISTRITO FEDERAL,9751
SERVICIO COMERCIAL GARIS  S.A. DE C.V.,ABARROTERA,IZTAPALAPA,DISTRITO FEDERAL,9751
SERVICIO COMERCIAL GARIS  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,METEPEC,MEXICO,9752
SERVICIO DEL CANTABRICO S.A DE C.V. Y/O RESTAURANTE SU SAZON,RESTAURANTE,TLALNEPANTLA DE BAZ,MEXICO,9753
SERVICIO FATY,ACEITES Y LUBRICANTES,IXTACUIXTLA DE MARIANO MATAMOROS,TLAXCALA,9754
SERVICIO MAYELI  S.A. DE C.V.,GASOLINERIA,CUAUTITLAN IZCALLI,MEXICO,9755
SERVICIO RAMIREZ   Y/O GILBERTO RAMIREZ MUJICA,REFACCIONARIA AUTOMOTRIZ,AZCAPOTZALCO,DISTRITO FEDERAL,9756
SERVICIO SHASA S. DE R.L. DE C. V.,TIENDA DEPARTAMENTAL,BOCA DEL RIO,VERACRUZ,9757
SERVICIO VERACRUZ  Y/O GABRIEL BALTAZAR MENDEZ,REFACCIONARIA AUTOMOTRIZ,BENITO JUAREZ,DISTRITO FEDERAL,9758
SERVICIO ZEPEDA Y/O ISAURO ZEPEDA LEON,REFACCIONARIA AUTOMOTRIZ,ALVARO OBREGON,DISTRITO FEDERAL,9759
SERVICIOS ADMINISTRATIVOS GZM  S. DE R. L. DE C. V. (GAMERS),VIDEO JUEGOS,LERMA,MEXICO,9760
SERVICIOS ADMINISTRATIVOS GZM  S. DE R.L. DE C.V.,VIDEO JUEGOS,TECAMAC,MEXICO,9761
SERVICIOS ADMINISTRATIVOS GZM  S. DE R.L. DE C.V.,VIDEO JUEGOS,TEXCOCO,MEXICO,9762
SERVICIOS ADMINISTRATIVOS GZM  S. DE R.L. DE C.V.,VIDEO JUEGOS,VALLE DE CHALCO SOLIDARIDAD,MEXICO,9763
SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.,HOTEL,TIJUANA,BAJA CALIFORNIA,9764
SERVICIOS EN COMPUTACION DE TLAXCALA  S. A. DE C.V .,EQUIPO DE COMPUTO,APIZACO,TLAXCALA,9765
SERVICIOS FARMACEUTICOS INTEGRALES,FARMACIA,MEXICALI,BAJA CALIFORNIA,9766
SERVICIOS FINANCIEROS DEL GOLFO  S.A. DE C.V.,SOCIEDAD COOPERATIVA DE PRESTAMOS,CAMPECHE,CAMPECHE,9767
SERVICIOS SHASA  S A DE C.V,PRENDAS DE VESTIR,BENITO JUAREZ,QUINTANA ROO,9768
SERVICIOS SHASA  S. DE R.L. DE C.V.,ROPA PARA DAMA,BENITO JUAREZ,DISTRITO FEDERAL,9769
SERVICIOS SHASA  S. DE R.L. DE C.V.,BOUTIQUE,CUERNAVACA,MORELOS,9770
SERVICIOS SHASA  S. DE R.L. DE C.V.   Y/O  SHASA,ROPA PARA DAMA,TLALNEPANTLA DE BAZ,MEXICO,9771
SERVICIOS SHASA  S. DE R.L. DE C.V.  Y/O  SHASA,ROPA PARA DAMA,BENITO JUAREZ,DISTRITO FEDERAL,9772
SERVICIOS SHASA  S. DE R.L.DE C.V.,PRENDAS DE VESTIR,COYOACAN,DISTRITO FEDERAL,9773
SERVICIOS SHASA S. DE R.L. DE C.V. Y/O SHASA,ROPA PARA DAMA,IZTAPALAPA,DISTRITO FEDERAL,9774
SERVICIOS TOKS  S. A. DE C. V.,RESTAURANTE,TOLUCA,MEXICO,9775
SERVICIOS Y CARTUCHOS LASER  S.A. DE C.V.,PAPELERIA,SAN PEDRO GARZA GARCIA,NUEVO LEON,9776
SERVICOAPA  S.A. DE C.V.,REFACCIONARIA AUTOMOTRIZ,TLALPAN,DISTRITO FEDERAL,9777
SERVILLANTAS SIETE LEGUAS  S.A. DE C.V.,DISTRIBUIDORA DE LLANTAS,NEZAHUALCOYOTL,MEXICO,9778
SERVIOCEAN S.A DE C.V.  Y/O GRUPO SAHMS DE MEXICO,PESCADOS Y MARISCOS,IZTAPALAPA,DISTRITO FEDERAL,9779
SETA HOGAR,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,9780
SETA HOGAR,SIN GIRO ESPECIFICO,SAN NICOLAS DE LOS GARZA,NUEVO LEON,9781
SEVEN AUDIO  S.A. DE C.V.,PRODUCTOS ELECTRICOS,AZCAPOTZALCO,DISTRITO FEDERAL,9782
SEVEN BOUTIQUE,BOUTIQUE,MEXICALI,BAJA CALIFORNIA,9783
SEVEN ELEVEN  S.A. DE C.V.,TIENDAS DE CONVENIENCIA,PAZ  LA,MEXICO,9784
SEVERIANO ROSETE LUCAS,TORTILLERIA,CUAUHTEMOC,DISTRITO FEDERAL,9785
SEXY AMBER,BOUTIQUE,MONTERREY,NUEVO LEON,9786
SEXY FOREVER BOUTIQUE,BOUTIQUE,REYNOSA,TAMAULIPAS,9787
SEXY GIRLZ,ROPA PARA DAMA,COLIMA,COLIMA,9788
SEXY JEANS  S.A. DE C.V.,BOUTIQUE,QUERETARO,QUERETARO,9789
SEXY JEANS  Y/O RAGS S.A. DE C.V.,ROPA PARA DAMA,TLALNEPANTLA DE BAZ,MEXICO,9790
SEXY ROSA BOUTIQUE,BOUTIQUE,TIJUANA,BAJA CALIFORNIA,9791
SEÃOR LAGARTO  S. A. DE C. V.,ZAPATERIA,MEXICALI,BAJA CALIFORNIA,9792
SG PROVEEDORES S.A. DE C.V.,SIN GIRO ESPECIFICO,APODACA,NUEVO LEON,9793
SHARON ELIZABETH AGUILAR AVILES Y/O SHARON ZAPATERIA,ZAPATERIA,PAZ  LA,BAJA CALIFORNIA SUR,9794
SHASA Y/O SERVICIO SHASA  S. DE R.L. DE C.V.,PRENDAS DE VESTIR,IZTAPALAPA,DISTRITO FEDERAL,9795
SHASA Y/O SERVICOS SHASA S. DE R.L. DE C.V.,ROPA PARA DAMA,NAUCALPAN DE JUAREZ,MEXICO,9796
SHAUNG FENG  S.A. DE C.V.,ARTICULOS DE TEMPORADA,CUAUHTEMOC,DISTRITO FEDERAL,9797
SHELDON,DULCES Y CHOCOLATES,CHIAUTEMPAN,TLAXCALA,9798
SHEPORA MEXICO S. DE R.L. DE C.V.,ARTICULOS DE BELLEZA,NAUCALPAN DE JUAREZ,MEXICO,9799
SHERIFF BOOTS,ZAPATERIA,CHIHUAHUA,CHIHUAHUA,9800
SHERLOCK'S CPFFE HOUSE & ROCK PUB,RESTAURANT-BAR,SAN LUIS POTOSI,SAN LUIS POTOSI,9801
SHERLY,ROPA INFANTIL,PACHUCA DE SOTO,HIDALGO,9802
SHIROI IE FUSION FOOD,RESTAURANT-BAR,SAN LUIS POTOSI,SAN LUIS POTOSI,9803
SHOE BAGS,ZAPATERIA,GUADALAJARA,JALISCO,9804
SHOE WORLD,ZAPATERIA,MONTERREY,NUEVO LEON,9805
SHOE XOTICA   Y/O MARIA ISELA GONZALEZ MONTOYA,ZAPATERIA,DURANGO,DURANGO,9806
SHOES,ZAPATERIA,CHIHUAHUA,CHIHUAHUA,9807
SHOES MEXICO KIDS & TEENS FOOTWEAR Y/O CALZADO TARO S.A. DE C.V.,ZAPATERIA,NAUCALPAN DE JUAREZ,MEXICO,9808
SHOGUN MAYORISTA  S.A. DE C.V.,JUGUETERIA,SAN LUIS POTOSI,SAN LUIS POTOSI,9809
SHOP & SAVE Y/O CLAUDIA SOLIS GALVAN,PRENDAS DE VESTIR,BENITO JUAREZ,QUINTANA ROO,9810
SHOPING TIME,BOUTIQUE,REYNOSA,TAMAULIPAS,9811
SHOWCO SHOP Y/O SHOWCO SHOP  S.A. DE C.V.,PRODUCTOS ELECTRICOS,CUAUHTEMOC,DISTRITO FEDERAL,9812
SHYNE ORO LAMINADO 18 KT GF,JOYERIA,OAXACA DE JUAREZ,OAXACA,9813
SIEMPRE POSITIVO  S.A. DE C.V.,LECHE,ZAPOPAN,JALISCO,9814
SIGALA'S  ZAPATERIA,ZAPATERIA,MEXICALI,BAJA CALIFORNIA,9815
SILVER EMPORIUM PUERTA MAYA Y/O OPERADORA PALANCAR  S.A DE C.V,JOYERIA,COZUMEL,QUINTANA ROO,9816
SILVER GOLD COLLETION Y/O JOYERIAS DEL CARIBE  S.A DE C.V,JOYERIA,COZUMEL,QUINTANA ROO,9817
SILVER PLATE  S.A. DE C.V.,PRENDAS DE VESTIR,CUAUHTEMOC,DISTRITO FEDERAL,9818
SILVER TRADITIONS Y/O FUSION MG  S.A DE C.V,JOYERIA,COZUMEL,QUINTANA ROO,9819
SILVER TRADITIONS Y/O FUSION MG  S.A. DE C.V.,JOYERIA,SOLIDARIDAD,QUINTANA ROO,9820
SILVERIO BECERRIL CORSSEN Y/O ELITE UNIFORMES,UNIFORMES ESCOLARES,PAZ  LA,BAJA CALIFORNIA SUR,9821
SILVIA LIZETH ROSAS ALCANTAR Y/O MY CLOSET,BOUTIQUE,PAZ  LA,BAJA CALIFORNIA SUR,9822
SILVIA REDUCINDO VAZQUEZ PROPIETARIO DE ABARROTES LA MEXICANA,ABARROTES,BOCA DEL RIO,VERACRUZ,9823
SIMIL CUERO PLYMOUTH  S.A. DE C.V.,TEXTILES,CUAUHTEMOC,DISTRITO FEDERAL,9824
SIMONE,MUEBLERIA,SAN PEDRO GARZA GARCIA,NUEVO LEON,9825
SIMONE,SIN GIRO ESPECIFICO,SAN PEDRO GARZA GARCIA,NUEVO LEON,9825
SINATRA LIVE - MARIOLLA S.A. DE C.V.,BAR,AGUASCALIENTES,AGUASCALIENTES,9826
SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,AGUASCALIENTES,9827
SINI JOYAS  S.A. DE C.V.,JOYERIA,CUAUHTEMOC,DISTRITO FEDERAL,9828
SIRLOIN STOCKADE MUNDO E  Y/O GRUPO GASTRONOMICO EMIMAT  S.A.D E C.V.,RESTAURANTE,TLALNEPANTLA DE BAZ,MEXICO,9829
SIRLON STOCKADE Y/O REPRESENTACIONES DE FRANQUICIAS S A DE CV,RESTAURANTE,BENITO JUAREZ,QUINTANA ROO,9830
SISTEMA VITA NATURA  S.A. DE C.V.,PRODUCTOS NATURISTAS,CUAUHTEMOC,DISTRITO FEDERAL,9831
SISTEMAS EMPRESARIALES DABO  S.A. DE C.V.,PRODUCTOS ELECTRICOS,IZTAPALAPA,DISTRITO FEDERAL,9832
SISTEMAS EMPRESARIALES DABO  S.A. DE C.V.  Y/O MAC STORE,PRODUCTOS ELECTRONICOS,ALVARO OBREGON,DISTRITO FEDERAL,9833
SISTER,BOUTIQUE,NAVOJOA,SONORA,9834
SIX,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,9835
SIX LA ESQUINA,ABARROTES,REYNOSA,TAMAULIPAS,9836
SKANDALOS BOUTIQUE,BOUTIQUE,TIJUANA,BAJA CALIFORNIA,9837
SKECHERS,ZAPATERIA,TAPACHULA,CHIAPAS,9838
SKECHERS Y/O INTER TENIS S.A. DE C.V.,ZAPATERIA,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,9839
SKY LINE,RESTAURANT-BAR,CUERNAVACA,MORELOS,9840
SKY ZONE LOMAS VERDES Y/O JUMPMEX DE MÂ¿XICO S  DE R.L. DE C.V.,CENTROS DE DIVERSION,NAUCALPAN DE JUAREZ,MEXICO,9841
SMART & FINAL DEL NOROESTE  S.A. DE C.V.,ABARROTES,MEXICALI,BAJA CALIFORNIA,9842
